date,vacunas-count,efectos secundarios vacuna ...-count,trombos-count,trombosis-count,pfizer-count,moderna-count,astrazeneca-count,jhonson & jhonson janssen-count,sinovac-count,sinopharm-count,zydus-count,gamaleya-count,vacunas-total_count,efectos secundarios vacuna ...-total_count,trombos-total_count,trombosis-total_count,pfizer-total_count,moderna-total_count,astrazeneca-total_count,jhonson & jhonson janssen-total_count,sinovac-total_count,sinopharm-total_count,zydus-total_count,gamaleya-total_count,vacunas-ratio,efectos secundarios vacuna ...-ratio,trombos-ratio,trombosis-ratio,pfizer-ratio,moderna-ratio,astrazeneca-ratio,jhonson & jhonson janssen-ratio,sinovac-ratio,sinopharm-ratio,zydus-ratio,gamaleya-ratio
"2021-03-01","411","1171","0","0","145","65","68","9","84","31","0","6","4685","4685","4685","4685","4685","4685","4685","4685","4685","4685","4685","4685","0.08772678762006403","0.24994663820704377","0","0","0.030949839914621132","0.013874066168623266","0.014514407684098186","0.00192102454642476","0.01792956243329776","0.0066168623265741725","0","0.0012806830309498398"
"2021-03-02","351","1121","0","0","132","64","81","9","72","22","0","5","4830","4830","4830","4830","4830","4830","4830","4830","4830","4830","4830","4830","0.07267080745341616","0.23209109730848862","0","0","0.02732919254658385","0.013250517598343685","0.016770186335403725","0.0018633540372670807","0.014906832298136646","0.004554865424430642","0","0.0010351966873706005"
"2021-03-03","400","1128","0","0","146","44","73","13","81","28","0","0","4728","4728","4728","4728","4728","4728","4728","4728","4728","4728","4728","4728","0.08460236886632826","0.23857868020304568","0","0","0.030879864636209814","0.009306260575296108","0.015439932318104907","0.0027495769881556685","0.01713197969543147","0.005922165820642978","0","0"
"2021-03-04","325","1153","1","0","85","46","68","15","41","9","0","8","4881","4881","4881","4881","4881","4881","4881","4881","4881","4881","4881","4881","0.06658471624667077","0.2362220856381889","0.0002048760499897562","0","0.017414464249129277","0.009424298299528785","0.013931571399303422","0.003073140749846343","0.008399918049580004","0.0018438844499078057","0","0.0016390083999180496"
"2021-03-05","258","1051","0","1","72","46","67","5","59","10","0","3","4385","4385","4385","4385","4385","4385","4385","4385","4385","4385","4385","4385","0.058836944127708096","0.23968072976054733","0","0.00022805017103762827","0.016419612314709234","0.0104903078677309","0.015279361459521095","0.0011402508551881414","0.013454960091220068","0.002280501710376283","0","0.0006841505131128849"
"2021-03-06","234","704","0","0","78","35","58","22","96","22","0","3","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","0.07612231620039037","0.22901756668835394","0","0","0.025374105400130124","0.011385816525699415","0.018867924528301886","0.0071567989590110605","0.031229668184775537","0.0071567989590110605","0","0.0009759271307742355"
"2021-03-07","126","626","0","0","43","25","30","1","45","7","0","4","3050","3050","3050","3050","3050","3050","3050","3050","3050","3050","3050","3050","0.04131147540983607","0.20524590163934425","0","0","0.014098360655737704","0.00819672131147541","0.009836065573770493","0.0003278688524590164","0.014754098360655738","0.0022950819672131148","0","0.0013114754098360656"
"2021-03-08","247","996","0","3","97","57","64","7","55","13","0","3","4366","4366","4366","4366","4366","4366","4366","4366","4366","4366","4366","4366","0.05657352267521759","0.22812643151626202","0","0.0006871278057718735","0.02221713238662391","0.013055428309665598","0.014658726523133303","0.001603298213467705","0.012597343105817681","0.002977553825011452","0","0.0006871278057718735"
"2021-03-09","269","1001","0","1","101","42","54","1","87","24","0","9","4552","4552","4552","4552","4552","4552","4552","4552","4552","4552","4552","4552","0.05909490333919156","0.21990333919156416","0","0.0002196836555360281","0.02218804920913884","0.00922671353251318","0.011862917398945518","0.0002196836555360281","0.019112478031634447","0.005272407732864675","0","0.001977152899824253"
"2021-03-10","334","1082","2","4","134","63","69","17","74","17","0","6","4645","4645","4645","4645","4645","4645","4645","4645","4645","4645","4645","4645","0.07190527448869752","0.23293864370290635","0.0004305705059203445","0.000861141011840689","0.02884822389666308","0.01356297093649085","0.014854682454251884","0.0036598493003229277","0.015931108719052744","0.0036598493003229277","0","0.0012917115177610333"
"2021-03-11","367","1112","25","26","160","88","146","23","69","19","0","4","4650","4650","4650","4650","4650","4650","4650","4650","4650","4650","4650","4650","0.0789247311827957","0.23913978494623656","0.005376344086021506","0.005591397849462366","0.034408602150537634","0.0189247311827957","0.03139784946236559","0.004946236559139785","0.014838709677419355","0.0040860215053763445","0","0.0008602150537634409"
